2024-05-28 21:15:00 [FnHotkeyCapsLKNumLK, CPU Usage: 0.2 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:00 [taskhostw, CPU Usage: 0.5 s., Memory Usage: 3.0 MB]
2024-05-28 21:15:00 [FnHotkeyUtility, CPU Usage: 0.5 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:00 [ctfmon, CPU Usage: 3.8 s., Memory Usage: 7.0 MB]
2024-05-28 21:15:00 [unsecapp, CPU Usage: 0.0 s., Memory Usage: 2.0 MB]
2024-05-28 21:15:00 [explorer, CPU Usage: 26.1 s., Memory Usage: 61.0 MB]
2024-05-28 21:15:00 [igfxEM, CPU Usage: 2.4 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:00 [StartMenuExperienceHost, CPU Usage: 1.5 s., Memory Usage: 5.0 MB]
2024-05-28 21:15:00 [RuntimeBroker, CPU Usage: 2.7 s., Memory Usage: 12.0 MB]
2024-05-28 21:15:00 [nvsphelper64, CPU Usage: 1.2 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:00 [NVIDIA Overlay, CPU Usage: 6.0 s., Memory Usage: 28.0 MB]
2024-05-28 21:15:00 [SearchApp, CPU Usage: 9.3 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:00 [memreduct, CPU Usage: 1.3 s., Memory Usage: 1.0 MB]
2024-05-28 21:15:00 [firefox, CPU Usage: 610.7 s., Memory Usage: 374.0 MB]
2024-05-28 21:15:00 [TextInputHost, CPU Usage: 0.8 s., Memory Usage: 6.0 MB]
2024-05-28 21:15:00 [SecurityHealthService, CPU Usage: 0.1 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:00 [cmd, CPU Usage: 0.0 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:00 [LSB, CPU Usage: 0.3 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:00 [UserOOBEBroker, CPU Usage: 0.1 s., Memory Usage: 1.0 MB]
2024-05-28 21:15:00 [SDXHelper, CPU Usage: 1.0 s., Memory Usage: 5.0 MB]
2024-05-28 21:15:00 [LockApp, CPU Usage: 0.4 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:00 [WINWORD, CPU Usage: 187.1 s., Memory Usage: 119.0 MB]
2024-05-28 21:15:00 [ai, CPU Usage: 0.3 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:00 [devenv, CPU Usage: 154.5 s., Memory Usage: 290.0 MB]
2024-05-28 21:15:00 [PerfWatson2, CPU Usage: 3.3 s., Memory Usage: 20.0 MB]
2024-05-28 21:15:00 [Microsoft.ServiceHub.Controller, CPU Usage: 2.5 s., Memory Usage: 11.0 MB]
2024-05-28 21:15:00 [ServiceHub.VSDetouredHost, CPU Usage: 1.1 s., Memory Usage: 14.0 MB]
2024-05-28 21:15:00 [ServiceHub.IdentityHost, CPU Usage: 1.9 s., Memory Usage: 5.0 MB]
2024-05-28 21:15:00 [ServiceHub.SettingsHost, CPU Usage: 1.9 s., Memory Usage: 18.0 MB]
2024-05-28 21:15:00 [ServiceHub.ThreadedWaitDialog, CPU Usage: 1.1 s., Memory Usage: 13.0 MB]
2024-05-28 21:15:00 [ServiceHub.IndexingService, CPU Usage: 1.6 s., Memory Usage: 7.0 MB]
2024-05-28 21:15:00 [ServiceHub.RoslynCodeAnalysisService, CPU Usage: 21.5 s., Memory Usage: 46.0 MB]
2024-05-28 21:15:00 [ServiceHub.Host.AnyCPU, CPU Usage: 3.9 s., Memory Usage: 17.0 MB]
2024-05-28 21:15:00 [ServiceHub.TestWindowStoreHost, CPU Usage: 0.8 s., Memory Usage: 13.0 MB]
2024-05-28 21:15:00 [ServiceHub.IntellicodeModelService, CPU Usage: 1.0 s., Memory Usage: 2.0 MB]
2024-05-28 21:15:00 [ServiceHub.Host.dotnet.x64, CPU Usage: 3.2 s., Memory Usage: 6.0 MB]
2024-05-28 21:15:00 [ShellExperienceHost, CPU Usage: 0.5 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:00 [ApplicationFrameHost, CPU Usage: 0.1 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:00 [RtkUWP, CPU Usage: 0.2 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:00 [audiodg, CPU Usage: 19.8 s., Memory Usage: 7.0 MB]
2024-05-28 21:15:00 [Telegram, CPU Usage: 9.8 s., Memory Usage: 14.0 MB]
