2024-01-15 04:34:51 [ServiceHub.TestWindowStoreHost, CPU Usage: 125,0 s., Memory Usage: 80,0 MB]
2024-01-15 04:34:51 [audiodg, CPU Usage: 8981,2 s., Memory Usage: 31,0 MB]
2024-01-15 04:34:51 [opera, CPU Usage: 366668,8 s., Memory Usage: 6153,0 MB]
2024-01-15 04:34:51 [opera_crashreporter, CPU Usage: 2,5 s., Memory Usage: 8,0 MB]
2024-01-15 04:34:51 [MoUsoCoreWorker, CPU Usage: 21,2 s., Memory Usage: 19,0 MB]
2024-01-15 04:34:51 [MSBuild, CPU Usage: 871,2 s., Memory Usage: 183,0 MB]
2024-01-15 04:34:51 [VBCSCompiler, CPU Usage: 217,5 s., Memory Usage: 130,0 MB]
2024-01-15 04:34:51 [StandardCollector.Service, CPU Usage: 7,5 s., Memory Usage: 52,0 MB]
2024-01-15 04:34:51 [TaskManager, CPU Usage: 100,0 s., Memory Usage: 117,0 MB]
2024-01-15 04:35:30 [System, CPU Usage: 148,9 s., Memory Usage: 2,0 MB]
2024-01-15 04:35:30 [Registry, CPU Usage: 3,8 s., Memory Usage: 33,0 MB]
2024-01-15 04:35:30 [smss, CPU Usage: 0,1 s., Memory Usage: 1,0 MB]
2024-01-15 04:35:30 [csrss, CPU Usage: 23,3 s., Memory Usage: 12,0 MB]
2024-01-15 04:35:30 [wininit, CPU Usage: 0,1 s., Memory Usage: 7,0 MB]
2024-01-15 04:35:30 [services, CPU Usage: 2,1 s., Memory Usage: 8,0 MB]
2024-01-15 04:35:30 [lsass, CPU Usage: 2,8 s., Memory Usage: 24,0 MB]
2024-01-15 04:35:30 [svchost, CPU Usage: 80,8 s., Memory Usage: 519,0 MB]
2024-01-15 04:35:30 [fontdrvhost, CPU Usage: 2,0 s., Memory Usage: 15,0 MB]
2024-01-15 04:35:30 [WUDFHost, CPU Usage: 0,5 s., Memory Usage: 27,0 MB]
2024-01-15 04:35:30 [winlogon, CPU Usage: 0,1 s., Memory Usage: 12,0 MB]
2024-01-15 04:35:30 [dwm, CPU Usage: 182,6 s., Memory Usage: 280,0 MB]
2024-01-15 04:35:30 [igfxCUIService, CPU Usage: 0,0 s., Memory Usage: 9,0 MB]
2024-01-15 04:35:30 [NVDisplay.Container, CPU Usage: 1,9 s., Memory Usage: 58,0 MB]
2024-01-15 04:35:30 [nvwmi64, CPU Usage: 0,6 s., Memory Usage: 22,0 MB]
2024-01-15 04:35:30 [RtkAudioService64, CPU Usage: 0,0 s., Memory Usage: 8,0 MB]
2024-01-15 04:35:30 [spoolsv, CPU Usage: 0,1 s., Memory Usage: 15,0 MB]
2024-01-15 04:35:30 [PnkBstrA, CPU Usage: 0,1 s., Memory Usage: 6,0 MB]
2024-01-15 04:35:30 [ibtsiva, CPU Usage: 0,0 s., Memory Usage: 4,0 MB]
2024-01-15 04:35:30 [SynTPEnhService, CPU Usage: 0,0 s., Memory Usage: 5,0 MB]
2024-01-15 04:35:30 [esif_uf, CPU Usage: 0,0 s., Memory Usage: 6,0 MB]
2024-01-15 04:35:30 [sqlwriter, CPU Usage: 0,1 s., Memory Usage: 8,0 MB]
2024-01-15 04:35:30 [OfficeClickToRun, CPU Usage: 0,8 s., Memory Usage: 52,0 MB]
2024-01-15 04:35:30 [RAVBg64, CPU Usage: 0,3 s., Memory Usage: 28,0 MB]
